Price,Metro station,Minutes to metro,Number of rooms,Area,Living area,Kitchen area,Floor,Number of floors,Apartment_type_Digit,Region_Digit,Renovation_N_Cosmetic,Renovation_N_Designer,Renovation_N_European-style renovation,Renovation_N_Without renovation,Living_share,Kitchen_share,Is_first_floor
8000000.0, Опалиха,14.0,1.0,33.5,16.2,9.0,1.0,8,0,0,0,0,1,0,0.4835820895522388,0.26865671641791045,1
8100000.0, Опалиха,4.0,1.0,38.4,21.5,9.8,2.0,8,0,0,0,0,0,1,0.5598958333333334,0.25520833333333337,0
8199000.0, Красногорская,8.0,1.0,47.8,23.4,11.6,2.0,7,0,0,0,1,0,0,0.4895397489539749,0.24267782426778242,0
8200000.0, Опалиха,6.0,1.0,47.2,22.0,12.0,19.0,26,0,0,1,0,0,0,0.4661016949152542,0.2542372881355932,0
8200000.0, Митино,7.0,1.0,35.3,15.0,8.3,5.0,17,0,0,0,0,1,0,0.42492917847025496,0.23512747875354112,0
8150000.0, Павшино,12.0,1.0,30.0,17.3,9.1,10.0,21,0,0,0,1,0,0,0.5766666666666667,0.30333333333333334,0
8290000.0, Опалиха,6.0,1.0,38.6,16.7,9.3,18.0,25,0,0,0,0,1,0,0.4326424870466321,0.24093264248704666,0
8290000.0, Строгино,8.0,1.0,34.1,14.1,11.2,21.0,34,0,0,0,1,0,0,0.4134897360703812,0.3284457478005865,0
8300000.0, Опалиха,7.0,1.0,34.2,20.0,12.0,4.0,26,0,0,0,0,1,0,0.5847953216374269,0.3508771929824561,0
8490000.0, Пенягино,14.0,1.0,31.9,15.0,10.0,11.0,44,0,0,0,0,1,0,0.4702194357366771,0.31347962382445144,0
8500000.0, Митино,12.0,1.0,39.2,14.0,10.4,14.0,25,0,0,0,0,1,0,0.3571428571428571,0.2653061224489796,0
8600000.0, Опалиха,6.0,1.0,48.5,17.7,13.5,15.0,17,0,0,0,0,1,0,0.3649484536082474,0.27835051546391754,0
8600000.0, Красногорская,10.0,1.0,44.0,17.5,10.0,5.0,14,0,0,0,0,1,0,0.3977272727272727,0.22727272727272727,0
8700000.0, Опалиха,5.0,1.0,47.6,20.0,11.5,18.0,25,0,0,0,0,1,0,0.42016806722689076,0.2415966386554622,0
8700000.0, Павшино,8.0,1.0,41.6,19.0,18.0,20.0,23,0,0,1,0,0,0,0.4567307692307692,0.43269230769230765,0
8700000.0, Павшино,5.0,1.0,37.9,21.3,9.8,1.0,12,0,0,1,0,0,0,0.5620052770448549,0.2585751978891821,1
8700000.0, Красногорская,6.0,1.0,43.0,22.0,11.0,2.0,14,0,0,1,0,0,0,0.5116279069767442,0.2558139534883721,0
8690000.0, Мякинино,16.0,1.0,36.3,20.0,8.0,4.0,19,0,0,0,0,0,1,0.5509641873278237,0.22038567493112948,0
8875000.0, Красногорская,7.0,1.0,48.0,18.0,13.0,10.0,17,0,0,0,0,1,0,0.375,0.2708333333333333,0
8990000.0, Красногорская,30.0,1.0,46.0,18.0,13.0,15.0,16,0,0,1,0,0,0,0.391304347826087,0.2826086956521739,0
8999999.0, Павшино,8.0,1.0,42.9,16.0,13.0,1.0,24,0,0,0,1,0,0,0.372960372960373,0.30303030303030304,1
8950000.0, Аникеевка,6.0,1.0,45.0,19.0,13.0,8.0,24,0,0,0,0,1,0,0.4222222222222222,0.28888888888888886,0
8900000.0, Пенягино,10.0,1.0,39.0,20.0,10.0,16.0,25,0,0,0,0,1,0,0.5128205128205128,0.2564102564102564,0
8900000.0, Мякинино,24.0,1.0,40.5,18.0,12.0,16.0,25,0,0,0,0,1,0,0.4444444444444444,0.2962962962962963,0
8950000.0, Пенягино,12.0,1.0,39.7,22.2,9.9,10.0,25,0,0,1,0,0,0,0.5591939546599496,0.24937027707808562,0
9050000.0, Павшино,19.0,1.0,39.9,19.0,8.0,16.0,17,0,0,0,0,1,0,0.4761904761904762,0.2005012531328321,0
9000000.0, Строгино,8.0,1.0,38.0,20.0,15.0,7.0,33,0,0,0,0,1,0,0.5263157894736842,0.39473684210526316,0
